土城門市,236台北縣土城市青雲路152號1樓,
三重門市,241台北縣三重市正義北路13號,
二重門市,241台北縣三重市重新路五段654號,
內壢門市,320桃園縣中壢市中華路一段450號,
大江門市,320桃園縣中壢市中園路2段501號1F,
中壢門市,320桃園縣中壢市元化路357號,
台茂門市,338桃園縣蘆竹鄉南崁路一段112號1F,
桃愛門市,330桃園縣桃園市中山路939號,
桃興門市,330桃園縣桃園市大興西路二段76巷6號,
航空門市,337桃園縣大園鄉埔心村航站南路15號3F,
航站門市及航廈門市,337桃園縣大園鄉航站南路9號4樓,
崇壢門市,320桃園縣中壢市中央西路一段120號,
復興門市,320桃園縣中壢市中山路138號,
經國門市,330桃園縣桃園市經國路369號1樓,
桃遠門市,桃園縣桃園市中正路20號1樓,
廣達門市,333桃園縣龜山鄉文化二路211號1樓,
林口門市,桃園縣龜山鄉復興一路202號1F,
宏達電門市,桃園縣桃園市桃園市興華路23號1F,
六家門市,302新竹縣竹北市高鐵七路6號1F,
台元門市,302新竹縣竹北市台元科技園區台元街34號,
園區門市,308新竹縣新竹科學工業園區研新一路9號一樓,
中正門市,300新竹市中正路2號1~2樓,
介壽門市,300新竹市介壽路47號,
台積電門市,300新竹市新竹科學園區力行六路六號四樓,
竹達門市,300新竹市力行二路1號,
西大門市,300新竹市西大路323號,
東門門市,300新竹市東門街47號1~2F,
研新門市,308新竹市全區科學園區研新二路6號,
清大門市,300新竹市光復路二段344號,
竹北門市,新竹縣竹北市光明一路376號,
烏日門市,414台中縣烏日鄉站區二路8號2 F,
豐原門市,420台中縣豐原市復興路2號,
三越一店門市,407台中市西屯區中港路二段111號3樓,
大英門市,408台中市南屯區公益路二段131號,
中友門市,台中市北區三民路三段161號1樓C棟,
中港門市,台中市西區中港路一段235號一樓,
中榮門市,407台中市西屯區中港路三段160號,
中醫門市,404台中市北區育德路2號,
五權門市,台中市西區五權西路一段277號1~2樓,
公益門市,403台中市西區公益路246-1號,
虎城門市,120台中市西屯區河南路三段120號,
崇漢門市,404台中市北區漢口路四段395號1~2樓,
德安門市,401台中市東區復興路四段186號,
崇德門市,406台中市北屯區崇德路三段181號1F,
新國門市,407台中市西屯區市政北一路1號,
新廣三門市,403台中市西區中港路一段299號1樓,
墩業門市,408台中市南屯區大墩路717-5號,
南屯門市,台中市南屯區文心路一段1號,
福康門市,台中市西屯區福康路1.3號,
櫻花門市,台中市西屯區櫻花路1號,
彰基門市,500彰化縣彰化市旭光路235號,
嘉基門市,600嘉義市忠孝路539號,
垂楊門市,嘉義市垂楊路537號一樓,
阿里山門市,嘉義縣阿里山鄉中正村56號,
耐斯門市,嘉義市東、西區忠孝路600號,
府中門市,700台南市中西區民生路二段489號,
南遠門市,701台南市東區前鋒路210號,
長榮門市,701台南市東區長榮路三段139號,
府榮門市,701台南市東區長榮路1段181號1樓,
永福門市,700台南市南區西門路一段658號1樓,
永華門市,708台南市安平區中華西路二段16號,
台南門市,700台南市中西區中山路166號1樓,
公園門市,700台南市中西區公園路60號,
南科門市,744台南縣新市鄉南科三路17號,
南台門市,台南縣永康市南台街1號,
永康門市,710台南縣永康市中華路157號,
仁德南、北門市,717台南縣仁德鄉中洲村中洲1-16號中山高北上休息站),
東山門市,台南縣東山鄉科里村枋仔林74-6號 (國道三號東山服務區),
時代2門市,806高雄市前鎮區中華五路789號1F,
廣林門市,802高雄市苓雅區廣州一街149-1號,
長庚門市,高雄縣鳥松鄉烏松鄉大埤路123號B1,
十全門市,807高雄市三民區十全一路183號,
三多門市,802高雄市苓雅區三多三路234 236號1.2.3樓,
大順門市,807高雄市三民區民族一路427號一樓,
五福門市,800高雄市新興區五福二路262號,
明誠門市,807高雄市三民區明誠二路72號,
青年門市,802高雄市苓雅區成功一路221號1F,
建國門市,802高雄市苓雅區大順三路115號,
高榮門市,813高雄市左營區榮總路115號A2,
高遠門市,802高雄市苓雅區三多四路21號,
高鐵門市,807高雄市三民區建國二路318號3樓,
愛河門市,807高雄市前金區河東路356號,
裕誠門市,813高雄市左營區裕誠路396.396-1號,
夢時代門市,806高雄市前鎮區成功二路2號B1,
左營門市,高雄市左營區高鐵路105號2F,
墾丁門市,946屏東縣恆春鎮墾丁路14號,
屏東門市,900屏東縣屏東市中正路72號,
海生館門市,944屏東縣車城鄉後灣村後灣路2號,
台東門市,950台東縣台東市博愛路478號1樓,
花蓮門市,970花蓮縣花蓮市中山路585號,
傳藝門市,268宜蘭縣五結鄉五濱路二段201號,
宜蘭門市,260宜蘭縣宜蘭市舊城東路56號,
清境門市,南投縣仁愛鄉定遠新村26-1號1樓,
日月潭門市,555南投縣魚池鄉中山路101號,
馬公門市,880澎湖縣馬公市三民路2號,
